gene	E10.5	E11.5	E12.5	E13.5	E14.5	E16.5	P3	P6	P9	Adult
Fam227b	0.0	1.19807974454	0.0	0.0	0.0	0.0	1.21927950346	0.0	0.0	0.0
Efhd1	2.23223611767	0.0	0.0	2.38625914113	0.0	0.0	1.64940246173	1.17184603459	0.0	2.69750385157
Tmbim1	8.62480787067	8.9384523502	9.27513789942	8.5913652591	8.71957363836	8.30596871323	8.19424195013	7.9481652436	7.44351718424	8.69752702177
Fam175a	6.68803787075	6.98491690804	6.23802683319	6.10099866586	5.9784015835	5.73348417322	6.0037815324	6.44634596794	6.18531246427	5.77559178366
Rhbdd1	5.21872026861	5.59318384599	5.49211275928	6.67893106718	6.32705856274	6.16210792866	6.34347291409	7.08245515498	6.60605249073	7.53181397662
Olfr955	0.0	0.0	0.0	0.0	0.0	0.0	2.85212638359	0.0	0.0	0.0
Mgat4c	0.0	0.0	0.0	0.0	0.0	0.0	1.21927950346	0.0	0.0	0.0
Lgi2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17919813098	0.0
Zhx2	0.0	2.17013414409	1.92184562836	3.24107745818	2.98075651923	2.91203704149	2.42200342532	0.0	3.78638354359	2.2957200324
Best3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sema3b	0.0	0.0	0.0	3.24107745818	0.0	0.0	0.0	0.0	0.0	0.0
Ppp1r1c	0.0	0.0	0.0	0.0	0.0	1.48863996175	1.21927950346	0.0	0.0	0.0
Gh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fbll1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17919813098	0.0
Nefl	0.0	2.19399141626	3.08851670608	0.0	0.0	0.0	0.0	1.17184603459	0.0	0.0
Masp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tmem161a	7.8985494668	7.83762392506	8.17278055975	8.62264854702	8.87594589467	9.02975139813	8.7915928661	8.57769146338	8.72946096496	8.4534278433
Phactr4	7.18376667248	7.38689686387	6.83315997441	7.25919714851	8.0576181436	7.85508981883	7.40076599939	7.52251230685	7.39251023502	6.8418168794
Ube2e2	0.0	4.76099918129	4.63894600513	3.77431267092	3.88645259872	1.48863996175	0.0	0.0	1.17919813098	1.82503760446
Gm906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mpp7	2.23223611767	5.00786454332	4.44849701644	4.72055209161	2.15283240469	4.08701279469	2.42200342532	5.41892680371	3.78638354359	3.60464173427
Pex5l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Trappc5	6.55767852463	6.65671880882	7.19206117148	6.84729542595	7.04430668065	6.17977322194	6.42210964706	7.29771188161	7.29826700237	7.58840150959
Med1	8.24313538192	7.55255706945	7.03318046673	7.48024088302	7.67512433295	7.26190195329	7.26211791802	7.93049492257	7.4665909512	7.59186401947
Ehbp1l1	10.9181400402	10.9863365647	10.5835099489	11.0606398708	11.1259041875	10.9158745354	10.6183662195	10.332421237	10.2863066722	9.70083795817
H2-Ea-ps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cd86	7.58557812502	7.85208489014	8.18409904749	8.7696362158	8.76600540188	9.13242227658	9.3478804282	9.51179901638	9.14256804116	8.42010661419
Rnf115	8.96908668322	8.6665746339	8.34528458101	7.48024088302	7.96113710073	7.06380839995	7.5237640763	7.81862563962	7.15290052701	7.85056633538
Cd3eap	7.89852699016	8.35314984526	8.761946388	8.25448066669	8.41898682021	8.17128942963	7.68560695119	7.78472783354	8.07332110472	9.10875950779
Cwc15	8.74173919973	8.73313336775	8.6631159967	7.99239456845	7.89998522707	7.02502984914	7.34027248038	7.29399331829	7.12002503672	7.22734144962
Suv420h2	9.59422171948	9.86114958704	9.69663776881	10.4731577867	10.2703934498	10.2844859489	10.4732240604	10.4321324945	10.6115817161	9.27710643862
Olfr994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ept1	5.4239262977	6.72185776078	5.9116022843	5.56994672304	5.71992267335	5.75605308947	5.8329372419	6.40628648989	6.05427155799	5.3940849614
Senp8	2.69972228229	4.92936760621	4.7073248329	3.24107745818	4.65133876611	3.81275580019	4.74414709914	4.65051905902	5.60851092423	5.3695816523
March1	6.06631131265	6.77082580727	6.97100021555	7.81417226886	7.60021770944	7.42154073328	7.30342343996	7.84523395085	7.78580018841	8.91659910251
Asah2	2.69972228229	3.14345956814	4.11666409708	4.16269343221	4.43849247269	4.91574586297	3.74205823967	4.37852528844	4.88827924605	4.32242514123
Mob3b	4.93195839996	5.43481551372	4.63790053054	4.16269343221	4.65133876611	1.87143427551	2.42200342532	4.24636196636	1.17919813098	0.0
Rps6kl1	0.0	1.19807974454	0.0	3.77431267092	3.88645259872	1.48863996175	1.20272392185	0.0	0.0	0.0
Acsm3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Map7d2	0.0	2.41552453745	0.0	0.0	0.0	0.0	0.0	1.15560622732	0.0	0.0
Olfr433	2.23223611767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unc5b	0.0	2.08728310598	3.26486576238	2.38625914113	0.0	2.21731411382	3.31451242476	2.05651683265	1.28474554598	0.0
Idi2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tpd52	11.6330511614	11.4193924296	11.0903896723	10.8619600152	11.0316508953	10.0997126839	10.0676623786	9.59220585757	9.50706876509	9.21841498241
Ube2v1	9.94863719639	10.0619724325	9.92458895443	10.0923739567	10.0299635474	10.0682980876	9.89681226501	9.65067815638	9.74962680639	8.65861800032
Slx1b	7.54996681092	7.8509355312	8.23071178352	8.17229748521	8.19971650829	8.02630385454	7.96864226567	7.79791787342	7.80660822632	8.65808389563
Olfr115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Smgc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abl2	8.13234429565	8.17079662167	7.96125596825	7.70147974825	8.14805451626	8.36803757656	8.37743398669	8.34205585408	8.06638726763	8.34193955759
Dlgap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ankmy2	6.68803787075	6.53980656599	5.81079523983	6.18723328724	6.38770718025	6.57843187522	6.72144619722	6.44023301931	6.98035127136	5.11365934557
Grhl1	2.21661327414	3.07076715941	2.51687147901	0.0	2.15283240469	2.91203704149	2.42200342532	3.44113370535	3.5026265079	0.0
Ermp1	3.00261015671	5.24356352992	5.5222013536	5.28717675173	5.00108161573	5.40600057518	5.15397930911	5.61664132654	5.76589553683	3.41528725854
Aldob	0.0	1.44347013789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Smlr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Plpp7	5.90703530585	7.06393344146	6.65905244865	7.89325905341	7.69926011027	7.2045980263	7.52594726893	6.96971753005	8.05508544024	7.24062129713
Caly	0.0	0.0	1.87583897284	2.38625914113	3.50347595134	2.34395026124	1.21927950346	0.0	3.94650282775	2.09810679269
Agt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cxcl5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tnip1	6.14756026745	8.24549054523	7.49968060393	8.33223799675	8.58359053689	8.4650573136	8.39203893882	7.76423605473	7.63706207958	7.64402893433
Frg1	2.71572790834	5.25602904667	6.24020532232	6.84729542595	6.12810777243	6.35722160587	6.38766796267	7.3498861629	6.87750658249	6.68517284953
Srcin1	5.41545019064	4.39451965708	3.24598963927	4.72055209161	4.43849247269	3.81275580019	3.54764942645	3.59444050226	3.15601816291	3.41528725854
Atp13a5	0.0	0.0	0.0	0.0	0.0	1.48863996175	0.0	0.0	0.0	0.0
Fam160a2	5.90703530585	5.75740124831	5.26835475904	5.43549525193	6.12810777243	6.45282538065	6.0808809225	5.54957781492	5.98979621125	5.71330448051
Snrpn	5.41545019064	5.04642394655	4.63790053054	3.24107745818	4.83678256582	0.0	1.63129174659	1.15560622732	3.15601816291	0.0
Tmem132b	0.0	0.0	0.0	0.0	0.0	0.0	1.21927950346	1.17184603459	0.0	0.0
Adtrp	2.71572790834	0.823542106314	1.92184562836	4.16269343221	2.15283240469	1.42339707974	3.74308024949	4.52464711516	3.84887373461	5.39431450217
Timm9	9.29047333052	8.52928759123	8.38832269023	7.81417226886	8.00050710834	7.43293288063	7.57386963221	6.60553754562	6.85910653717	7.24633230728
Dync1i1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.02772799118
Mef2a	8.90781205421	9.38760969734	8.99244928317	9.10481625522	9.45988443905	9.28950027061	9.3080681908	9.72875353042	9.98419469259	11.5404408383
Prr18	0.0	3.52022920871	3.20944442908	2.38625914113	3.88645259872	4.08874838933	3.5940068353	1.57908771297	5.29773670629	4.82934395206
Mapk8ip1	0.0	4.17892224729	1.75491124984	4.16269343221	2.98075651923	3.64071119356	0.0	0.0	3.17044397119	2.69750385157
Trpc1	0.0	0.0	0.0	0.0	3.50347595134	0.0	0.0	0.0	0.0	0.0
Ephb3	0.0	2.17013414409	3.73481387214	4.46845298636	4.1887174092	5.97699536203	5.60750837054	6.19451656351	6.35978449478	7.4177551657
Unc13d	6.30708097513	5.887999353	6.76341221162	8.19328879333	7.96113710073	8.35671487085	7.58531084811	7.96510340821	7.78022012543	8.17591006423
Taf9	6.55767852463	6.14365615979	5.59983963531	5.28717675173	5.40483501749	4.71661496971	5.29542836224	5.88193246022	6.14861194335	4.05233906356
Eif5a	13.6760247605	13.4117817591	12.9467129708	12.7084860131	12.8128240865	12.1408733796	12.1555787638	12.1714659205	12.1408879467	10.8422413598
Lpar1	0.0	3.01753352257	1.54957622143	0.0	2.15283240469	1.48863996175	1.63129174659	0.0	0.0	0.0
Gria3	5.21922343085	4.08692360345	2.97162029819	2.38625914113	0.0	0.0	0.0	0.0	0.0	0.0
1700001K19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tmbim6	11.6852014251	12.2139251924	12.3025909881	12.2846853173	12.4886980114	12.5717757368	12.6428235501	12.3673189897	12.5580713805	12.7057182488
Zfp740	7.6344552103	7.74176828128	7.62481657893	8.86428521044	8.84383313683	9.30034634974	9.12023683302	8.97097237297	9.15394976748	9.33431170441
Kcnj1	0.0	0.0	0.0	0.0	0.0	0.0	1.21927950346	0.0	0.0	0.0
Igip	0.0	1.19807974454	1.18326602277	2.38625914113	2.98075651923	0.0	1.21927950346	3.59444050226	4.0585489454	4.52003838094
Ccdc30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mllt4	0.0	3.7145801275	2.32324511118	3.24107745818	4.83678256582	0.0	3.11977612385	3.17613123902	1.99124584022	3.60464173427
Lrrc17	0.0	0.823542106314	0.810996615833	0.0	0.0	0.0	0.0	0.0	1.28474554598	0.0
Gjb1	0.0	0.0	0.0	0.0	2.15283240469	0.0	0.0	0.0	0.0	0.0
Ptbp3	9.4218006333	9.44935467244	9.10691788097	8.55938856321	8.59649541108	8.43461649157	8.68136862376	8.69237923065	8.36745446745	7.78966444726
Cox7b2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vapa	9.92113928923	9.90793604045	9.97805759898	9.50807205488	9.56210501815	9.2921068501	9.35694108117	8.94553179549	8.8828267988	9.79185902979
Grik2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1110017D15Rik	0.0	0.0	0.0	0.0	0.0	1.48863996175	1.21927950346	0.0	0.0	0.0
Ubn2	7.72527752383	7.93225152591	7.79539399024	8.5100520385	8.78867592385	9.10092259868	9.10958926713	9.251100829	9.49732023812	9.13731447858
Dpp6	0.0	2.78848493614	2.51687147901	5.43549525193	4.43849247269	3.36007423726	3.74205823967	0.0	1.28474554598	0.0
Jag2	0.0	0.823542106314	0.0	0.0	2.15283240469	1.48863996175	2.42200342532	3.3616911683	2.89001790696	1.38032338573
Lrrn1	0.0	3.59110524063	1.90677794118	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pou4f2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ssxb5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E2f3	7.19845157079	6.8350733861	6.42473480982	6.48830612183	6.75304287974	6.88403058712	6.2576153216	7.26257713526	6.89149756392	8.22137129618
Aldoc	2.23223611767	3.90300988644	2.88878791951	2.38625914113	4.65133876611	0.0	1.21927950346	1.57908771297	1.60527236098	1.38032338573
Chadl	0.0	1.79559650587	2.52327783373	2.38625914113	0.0	1.87143427551	0.0	1.17184603459	1.28474554598	0.0
Dip2a	0.0	5.75924267537	4.80163508894	4.46845298636	5.40483501749	4.11569130235	5.41391828145	5.13362878055	4.53108664451	5.3001733133
Cdc40	7.73845329993	7.54199861256	6.94051186602	6.89932066626	7.08149941617	6.9269090268	6.62761246295	6.43083631444	6.16888032747	6.81547675319
Cacnb2	5.21922343085	3.73794717772	2.5855231305	0.0	3.50347595134	4.71661496971	3.74308024949	4.72519006274	4.40515729039	5.08819690922
Crat	7.76541003455	8.757229947	8.69360291572	9.15916747294	8.96820021756	9.14381398259	9.63801859593	9.30157661441	9.55160613311	8.92568109512
Plec	6.68810777664	7.94864373168	6.80244097236	8.90302018809	8.95823659284	8.37588963704	8.08184472202	8.10832312835	7.63664785488	4.20368260065
Cnot1	8.70483262997	8.50536367065	7.68244769085	8.29388083338	8.14805451626	7.77479409048	8.04826690281	7.76623855451	8.03103487989	7.3641989292
Anapc10	4.93234118249	4.87369821495	4.55457605867	4.93512968177	4.83678256582	4.28787928259	5.07138228606	4.85089707021	3.62855586202	1.38032338573
Zfp12	5.21922343085	5.41555448246	5.14826773834	5.91135603238	6.50185310421	6.16172804651	5.73146715725	5.64022741122	6.09953783215	6.37681781498
Zcchc9	7.96697119682	7.40035231557	7.4365567003	6.34560927217	7.28653003942	6.38469939591	5.94035945936	6.89162315891	7.06314230214	6.58321486042
Sytl5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fxyd1	0.0	0.823542106314	1.09578132535	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mocs2	6.4833350039	7.29799175948	7.43566017545	7.1772899637	7.08149941617	6.99305188813	7.23472626135	7.36621436551	7.47038401864	7.12493656339
Gm11595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Umod	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ttc17	7.05344248773	6.98366367962	7.30821963117	7.48024088302	7.69926011027	8.06901597169	7.87286287562	7.76845455028	8.01201597631	8.28138454835
Igfbpl1	2.23223611767	5.60881879893	4.54754157816	4.93512968177	5.5176851337	1.48863996175	0.0	0.0	0.0	0.0
Serpina1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Akr1c14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Epb41l1	0.0	4.65552813987	4.27761725636	4.46845298636	4.83678256582	4.91625899092	5.18041328243	3.5976853802	2.45098853737	5.08388117343
Spata7	0.0	1.19807974454	2.14460207207	2.38625914113	2.98075651923	0.0	2.09265577793	3.44113370535	2.90040450687	0.0
Hras	10.9795737888	11.0136431187	11.2335339612	11.1811087641	11.0434798496	11.0434691706	10.7795469899	10.6057409688	10.4502942857	9.06700551452
Clip2	4.93195839996	4.72175447939	5.07415612461	5.91135603238	5.81134257974	4.99695196952	6.56210771487	6.33960781606	5.84249356899	7.51032505446
Elane	0.0	0.0	0.0	0.0	0.0	0.0	1.917052202	0.0	0.0	1.31718046585
Kmt2c	6.84731387756	6.62142239301	6.35540777992	7.1772899637	7.40863544507	7.13297926807	7.43160875704	7.76747667721	7.88072836766	7.38551572132
Zfp473	2.71572790834	3.26458195114	2.83850879589	0.0	2.15283240469	1.87143427551	3.54764942645	1.86276152276	2.18727632847	0.0
Wrb	6.95768190831	6.79315919876	6.79108209223	6.41871281327	6.65775431883	6.96367431415	6.73907542072	7.01811108565	6.91415547742	7.2715091448
Ttc33	7.5851836466	6.90386272181	7.05515970598	6.0092799811	6.70618517056	5.20774158395	5.95123977503	6.22317098582	6.14274111753	6.98932112055
Naa11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tmed4	8.08339046091	8.40928271703	8.81372672825	8.57546361208	8.37472217738	8.18595223736	8.36341250467	8.49693158504	7.89570922332	8.63642577272
Thoc1	2.69972228229	5.09142723373	4.34050547882	4.16269343221	3.88645259872	5.40212832319	4.20444428084	4.80776609347	4.20912680214	5.36886877097
Olfr487	0.0	0.0	0.0	0.0	0.0	1.48863996175	0.0	0.0	0.0	0.0
Gm14725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Isca1	8.13235846406	8.48235129554	8.3472283096	7.75892939602	7.69926011027	7.65545519019	7.52376702678	7.40615006874	7.35106010308	7.65391256072
Saxo1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dyrk1a	7.05420284782	8.16462806612	7.49122979414	8.36959734628	8.4043837429	7.66818680539	7.93730921391	7.86004176997	8.31990663738	7.91960913741
Vps26a	10.2575700838	10.4226574477	10.3001607772	9.15916747294	9.136701519	8.90783044088	8.7197020289	8.51759342163	8.63692628087	9.1721649066
Tmem134	9.92113928923	9.69112523506	9.48807059329	9.62854396449	9.60743758708	9.25798370498	9.45471216627	9.48459698342	9.21065753872	9.26836968273
Yme1l1	7.13793088711	6.58166698525	6.34070540221	7.0449841921	6.19751159211	6.24739064914	5.65452747743	6.19293282416	5.17087053228	5.57259993943
AW554918	3.00261015671	4.97371832803	4.94638157749	5.12184429788	4.65133876611	4.71661496971	5.55990981739	4.75763129407	4.27494796461	5.71375915727
Skap2	9.97882212722	10.0231465243	9.74456740015	9.86273498024	9.95177281707	9.72432179573	9.82781935209	9.86294804109	9.50977848142	8.93965342725
Mcm5	11.0234854527	11.079730664	10.6846373852	10.3001386	10.6473954646	9.13627299176	9.34139776063	9.80488046287	9.50393734309	6.39679042043
Sall4	0.0	2.17013414409	1.09578132535	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atg4c	6.59384284377	6.61892573359	6.19296515892	6.67893106718	7.11775736974	6.82701638857	6.70466062037	6.58461354759	7.00796385853	6.33083248768
Krtap28-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mtrf1	0.0	3.39910682572	3.65576899996	2.38625914113	2.15283240469	1.48863996175	1.20272392185	2.32745226191	2.46394367696	3.58165663563
Cdc27	7.47486268514	7.34631551564	6.58801253405	6.10099866586	7.0061296847	6.45115746806	6.55629195295	7.12974321339	6.67721919288	5.51086532448
Hba-x	5.42337087923	8.31073074283	7.87825533441	6.18723328724	6.55570880769	0.0	0.0	0.0	0.0	0.0
Tsks	0.0	0.823542106314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Teddm1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ttc5	5.9068626699	5.97393669198	5.16938806233	4.93512968177	4.43849247269	4.71799999969	5.04679471152	4.85089707021	3.59247899282	6.06240472884
Nxf2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ulk3	5.70221205928	5.73250056144	5.88035128591	6.18723328724	7.08149941617	7.22695485295	7.94321524728	7.90650540802	7.90836992879	7.70601694557
Olfr1020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tas2r118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sgca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gpat4	9.10946488672	9.10908928215	9.4704750945	9.62854396449	9.54223289526	9.60255087294	9.53433702874	9.9933830888	9.72076078688	8.99790875305
Grm8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tmem56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lig3	7.87617049598	7.51541019826	7.20295405238	7.21882959256	7.08149941617	6.42190230137	6.1368411011	6.78974761234	6.22207547685	6.83415798806
Hist1h2ap	2.21661327414	2.17013414409	4.31498126156	0.0	0.0	0.0	2.85057125005	3.01593621388	1.17919813098	3.85276559564
Olfr558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17184603459	0.0	0.0
Cd248	0.0	0.0	0.738579605593	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arhgap44	0.0	1.19807974454	1.09578132535	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spib	0.0	0.823542106314	0.0	2.38625914113	0.0	1.48863996175	1.64940246173	0.0	1.28474554598	0.0
Bcl2	4.44884939181	5.19512906911	5.15252666886	4.46845298636	5.28240273631	4.84436545442	4.74414709914	5.76385127196	6.52141203703	6.80493992279
Dsg1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hopx	0.0	4.0670191891	2.85714262653	0.0	0.0	0.0	0.0	0.0	0.0	1.38032338573
Scd4	0.0	0.0	1.92184562836	0.0	0.0	1.42339707974	0.0	1.86276152276	0.0	0.0
Vpreb3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyb5r1	4.93195839996	6.10370998951	8.16794511069	5.56994672304	5.81134257974	6.10504148109	6.49087432276	6.84687640418	5.95183695022	9.06350165142
Pfkfb4	6.95772419391	8.07636071149	8.36196215971	9.02511187113	9.30339262927	9.14130504687	9.48184971239	8.98633507019	9.11794547482	10.0943987579
Abhd12	10.889014114	11.7458843508	11.8816962614	12.2273307453	12.2327917469	12.7934956434	12.8903318533	12.7835577836	12.800084787	13.2516568734
Rbm41	2.23223611767	5.24696910637	5.07752039921	5.43549525193	5.14860877021	5.07160958557	4.20444428084	6.2716718576	4.62391639894	5.06512104515
F11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Med16	8.58120266453	8.82639215283	8.14484755886	8.17229748521	8.13041611796	7.77733793799	7.74544293485	7.34675319109	7.26662538623	7.94862164242
Mecom	0.0	0.0	0.738579605593	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc8a2	0.0	1.79559650587	0.0	0.0	4.43849247269	1.48863996175	1.63129174659	3.63455308865	2.45098853737	3.58165663563
Zfp534	0.0	1.37164976394	0.810996615833	0.0	0.0	1.48863996175	1.63129174659	0.0	0.0	0.0
Klrg1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38032338573
Bmpr1b	0.0	0.972054399554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acss2	0.0	3.93329630376	2.95779253744	3.24107745818	3.50347595134	2.49930085589	1.89824696471	0.0	0.0	3.41528725854
Kif14	2.21661327414	6.10773057114	5.07415612461	4.93512968177	5.14860877021	3.36007423726	4.63692086488	5.61672362681	5.27689174495	0.0
Gpr146	8.27989223959	8.81904521879	8.4825130049	9.367412567	9.58170901407	9.93019609121	9.93888867065	9.24768353551	9.50187107051	9.83886257392
Mllt10	7.84102766221	7.33508315606	7.03111249202	7.29847503474	7.25432003496	7.49929086893	7.24073821491	7.29729736954	7.67441928257	7.48461532696
Fbxw27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tsta3	9.12378860909	9.23869931444	8.98427382597	8.91570612555	8.79987735908	8.50962878413	8.45566261397	8.10557408621	8.12169224632	7.79516699329
Socs2	0.0	5.23195411924	5.15639272549	3.24107745818	4.43849247269	2.14569127001	4.97787948645	4.85737994551	3.79254868944	4.33074069608
Spon2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Txk	0.0	0.823542106314	0.0	0.0	2.15283240469	0.0	0.0	1.59704352606	0.0	0.0
Evi5l	2.23223611767	1.62616241081	2.14460207207	0.0	0.0	0.0	0.0	1.15560622732	0.0	0.0
Tuft1	6.95768190831	6.67365469802	6.63214038971	5.28717675173	5.28240273631	6.46860091849	5.02743110893	4.85089707021	5.12066414101	4.80834522901
Osbpl5	0.0	3.14345956814	1.09578132535	0.0	2.98075651923	0.0	1.20272392185	0.0	0.0	1.38032338573
Tmem87a	2.23223611767	2.96866513324	2.69551451812	3.77431267092	3.50347595134	4.36300538383	2.24563795143	3.01836775008	3.86251845715	2.69750385157
Tiam1	2.21661327414	4.05592397546	4.02547456454	3.24107745818	2.98075651923	4.41059290182	3.31451242476	4.47958871548	5.30466109848	6.24847711869
Chek2	8.17877242426	8.61544504814	8.55979723617	8.5913652591	8.92792607512	8.05569811561	8.63507229277	8.37630684869	8.33703366515	6.5993248505
Desi1	7.67493968888	8.11171144278	7.93412298098	8.4415332772	8.7313224256	7.60614206634	8.01821096794	7.30584999734	7.51858868501	7.08078494369
Vmn1r114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bcr	4.93195839996	6.04918387676	4.8332849345	6.10099866586	6.12810777243	6.23683966951	5.60742858075	5.2887862525	6.38884990567	5.96841028779
Hs6st2	0.0	0.0	0.810996615833	0.0	0.0	0.0	0.0	1.15560622732	0.0	0.0
Rchy1	7.61842529128	7.77684261873	7.15643590111	8.10743156734	9.45988443905	9.14688324255	9.16194672486	8.99715797443	8.82647874215	6.85889787675
Sept4	0.0	1.79559650587	0.0	2.38625914113	0.0	0.0	1.63129174659	1.15560622732	1.60527236098	2.69750385157
Cox14	10.2890861603	10.1611668558	10.1064836841	9.0367698033	9.20570773573	8.91838873564	8.63552104349	8.22070635374	8.29626624139	8.53699714131
Rhbdf2	7.05338268777	8.06117585996	7.65396221334	7.67188069252	7.46601526413	7.16992045731	7.17297245964	7.28192585713	7.06275340579	7.39326570692
Dnah1	0.0	0.823542106314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cenpj	5.58260161875	4.19060214994	2.76110196462	4.16269343221	4.83678256582	3.36471860442	4.76309425148	4.47958871548	5.45855621161	0.0
Snrpc	9.5212884667	8.6894551998	8.52129275341	6.67893106718	6.65775431883	6.55807317239	6.63013908878	6.18779995268	6.93243284991	6.11014546144
Krtap4-9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tgm1	2.23223611767	2.74386420375	1.54957622143	0.0	0.0	1.48863996175	0.0	1.15560622732	1.28474554598	0.0
BC051665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kif1a	0.0	4.56491151241	3.53108174597	5.12184429788	4.65133876611	0.0	1.89824696471	2.05651683265	1.99124584022	0.0
Ccdc159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Daam1	5.41545019064	5.56176182947	5.23225031701	5.56994672304	5.28240273631	4.82059201554	5.41362326915	4.60363079773	5.5208567634	6.22162702964
Smarca2	6.39844778511	6.72602653255	6.4537578635	9.64387242	10.1529984069	10.3989458334	10.3019459668	10.3873905386	10.4042432006	7.99390085341
Pitpnm3	0.0	0.972054399554	0.0	0.0	0.0	0.0	1.20272392185	0.0	0.0	0.0
Usf2	10.0951723008	10.7987955916	10.7558852017	11.3611443694	11.6076451753	11.4447410407	11.3438063457	11.1247020522	11.2507238732	11.4836733858
